Sample,Cloud,Plate,COPE5.a,COPE5.b,COPE9.a,COPE9.b,COPE10.a,COPE10.b,CPER26.a,CPER26.b,CPER52.a,CPER52.b,CPER92.a,CPER92.b,CPER99.a,CPER99.b,CPER119.a,CPER119.b,CPER188.a,CPER188.b
12COPE-0242,COPE-M-12,P3,219,219,158,158,276,276,150,150,NA,NA,293,293,166,166,156,164,287,287
12COPE-0243,COPE-M-12,P3,247,299,174,174,230,278,148,148,284,284,293,293,166,166,156,156,287,287
12COPE-0244,COPE-M-12,P3,143,159,170,170,230,230,150,150,NA,NA,293,301,166,166,156,162,287,287
12COPE-0245,COPE-M-12,P3,195,279,174,174,NA,NA,150,152,NA,NA,293,293,166,166,156,170,287,287
12COPE-0246,COPE-M-12,P3,179,275,174,174,230,230,150,150,212,212,291,293,166,166,164,164,287,287
12COPE-0247,COPE-M-12,P3,295,327,170,170,176,176,152,154,298,298,293,293,166,166,166,166,287,287
12COPE-0248,COPE-M-12,P3,243,279,166,194,172,172,150,150,280,280,293,293,166,166,156,156,287,291
11COPE-0249,COPE-M-11,P3,223,235,166,178,172,172,150,150,284,284,293,293,166,170,162,162,287,287
11COPE-0250,COPE-M-11,P3,131,131,174,178,230,230,150,152,274,284,293,293,166,166,178,178,287,287
11COPE-0251,COPE-M-11,P3,111,127,170,170,176,176,158,158,NA,NA,NA,NA,168,168,166,166,287,287
11COPE-0252,COPE-M-11,P3,239,239,174,174,230,230,150,152,NA,NA,291,297,166,166,154,164,287,287
11COPE-0253,COPE-M-11,P3,135,203,170,170,174,174,152,152,284,284,293,293,166,166,158,184,287,287
11COPE-0254,COPE-M-11,P3,123,123,170,174,178,178,150,150,284,284,291,295,166,166,160,160,287,287
11COPE-0255,COPE-M-11,P3,139,139,166,170,170,170,150,158,212,264,291,291,166,166,156,156,281,287
11COPE-0256,COPE-M-11,P3,227,227,174,182,176,176,150,152,284,284,293,295,166,166,160,160,287,287
11COPE-0257,COPE-M-11,P3,171,255,170,174,NA,NA,150,152,306,306,293,293,166,166,164,164,287,291
11COPE-0258,COPE-M-11,P3,247,287,158,170,NA,NA,152,162,NA,NA,293,293,166,166,162,164,287,287
11COPE-0259,COPE-M-11,P3,211,215,162,170,208,208,150,152,258,258,293,297,166,166,154,154,289,291
11COPE-0260,COPE-M-11,P3,207,243,170,170,168,168,158,158,280,296,293,295,166,166,158,164,287,287
11COPE-0261,COPE-M-11,P3,123,123,170,174,176,176,150,152,260,260,293,295,166,166,154,154,287,291
11COPE-0262,COPE-M-11,P3,299,299,166,174,184,230,150,150,NA,NA,293,295,166,168,154,160,287,289
11COPE-0263,COPE-M-11,P3,127,127,162,170,298,298,148,150,236,236,293,295,166,166,166,174,287,291
11COPE-0264,COPE-M-11,P3,171,275,170,170,168,208,152,154,296,296,293,293,166,166,154,174,287,291
11COPE-0265,COPE-M-11,P3,135,279,166,186,294,294,150,150,284,284,293,293,166,166,158,176,287,287
15COPE-0266,COPE-M-15,P3,131,259,166,174,176,176,150,150,260,260,289,293,166,166,156,182,287,287
15COPE-0267,COPE-M-15,P3,131,279,166,166,144,146,150,152,280,280,293,293,166,166,168,168,287,287
15COPE-0268,COPE-M-15,P3,287,287,166,166,184,184,152,154,NA,NA,293,293,166,166,168,168,287,287
15COPE-0269,COPE-M-15,P3,147,235,146,170,256,256,150,150,NA,NA,293,293,166,166,164,164,287,287
15COPE-0270,COPE-M-15,P3,187,267,170,170,176,304,148,152,270,270,293,293,166,166,170,170,287,289
15COPE-0271,COPE-M-15,P3,163,267,170,174,180,180,148,152,NA,NA,293,293,166,166,164,164,287,289
15COPE-0272,COPE-M-15,P3,195,335,158,170,230,230,150,150,NA,NA,291,291,166,166,156,158,283,289
15COPE-0273,COPE-M-15,P3,131,131,166,170,194,196,150,154,NA,NA,293,299,166,166,156,176,287,287
15COPE-0274,COPE-M-15,P3,115,115,166,170,174,176,156,162,NA,NA,NA,NA,164,168,170,170,287,287
15COPE-0275,COPE-M-15,P3,139,387,170,174,180,180,150,152,260,284,293,293,166,166,178,178,287,291
18COPE-0276,COPE-M-18,P3,111,111,158,170,NA,NA,154,156,NA,NA,NA,NA,164,168,152,152,287,287
18COPE-0277,COPE-M-18,P3,227,303,NA,NA,NA,NA,150,150,NA,NA,293,293,166,168,164,164,287,287
